name,website,district,state,region_category,party,committee
"Rutherford, John",https://rutherford.house.gov,Florida 5th,Florida,state,R,Appropriations
"Ryan, Patrick",https://patryan.house.gov/,New York 18th,New York,state,D,Armed Services|Transportation and Infrastructure
"Salazar, Maria",https://salazar.house.gov,Florida 27th,Florida,state,R,Financial Services|Foreign Affairs
"Salinas, Andrea",https://salinas.house.gov,Oregon 6th,Oregon,state,D,"Agriculture|Science, Space, and Technology"
"Sanchez, Linda",https://lindasanchez.house.gov/,California 38th,California,state,D,Ways and Means
"Scalise, Steve",https://scalise.house.gov/,Louisiana 1st,Louisiana,state,R,
"Scanlon, Mary Gay",https://scanlon.house.gov/,Pennsylvania 5th,Pennsylvania,state,D,Judiciary|Rules
"Schakowsky, Janice",https://schakowsky.house.gov,Illinois 9th,Illinois,state,D,Energy and Commerce
"Schmidt, Derek",https://schmidt.house.gov/,Kansas 2nd,Kansas,state,R,Armed Services|Judiciary|Small Business
"Schneider, Bradley",https://schneider.house.gov,Illinois 10th,Illinois,state,D,Foreign Affairs|Ways and Means
"Scholten, Hillary",https://scholten.house.gov,Michigan 3rd,Michigan,state,D,Transportation and Infrastructure|Small Business
"Schrier, Kim",https://schrier.house.gov,Washington 8th,Washington,state,D,Energy and Commerce
"Schweikert, David",https://schweikert.house.gov/,Arizona 1st,Arizona,state,R,Ways and Means
"Scott, Austin",https://austinscott.house.gov/,Georgia 8th,Georgia,state,R,Agriculture|Armed Services|Intelligence|Rules
"Scott, David",https://davidscott.house.gov/,Georgia 13th,Georgia,state,D,Agriculture|Financial Services
"Scott, Robert",https://bobbyscott.house.gov,Virginia 3rd,Virginia,state,D,Budget|Education and Workforce
"Self, Keith",https://keithself.house.gov,Texas 3rd,Texas,state,R,"Foreign Affairs|Science, Space, and Technology|Veterans' Affairs"
"Sessions, Pete",https://sessions.house.gov,Texas 17th,Texas,state,R,Financial Services|Oversight and Government Reform
"Sewell, Terri",https://sewell.house.gov/,Alabama 7th,Alabama,state,D,House Administration|Ways and Means
"Sherman, Brad",https://sherman.house.gov,California 32nd,California,state,D,Financial Services|Foreign Affairs
"Sherrill, Mikie",https://clerk.house.gov/members/NJ11/vacancy,New Jersey 11th,New Jersey,state,,
"Shreve, Jefferson",https://shreve.house.gov/,Indiana 6th,Indiana,state,R,Foreign Affairs|Transportation and Infrastructure
"Simon, Lateefah",https://simon.house.gov/,California 12th,California,state,D,Oversight and Government Reform|Small Business
"Simpson, Michael",https://simpson.house.gov,Idaho 2nd,Idaho,state,R,Appropriations
"Smith, Adam",https://adamsmith.house.gov/,Washington 9th,Washington,state,D,Armed Services
"Smith, Adrian",https://adriansmith.house.gov/,Nebraska 3rd,Nebraska,state,R,Joint Committee on Taxation|Ways and Means
"Smith, Christopher",https://chrissmith.house.gov/,New Jersey 4th,New Jersey,state,R,Foreign Affairs
"Smith, Jason",https://jasonsmith.house.gov,Missouri 8th,Missouri,state,R,Joint Committee on Taxation|Ways and Means
"Smucker, Lloyd",https://smucker.house.gov/,Pennsylvania 11th,Pennsylvania,state,R,Budget|Ways and Means
"Sorensen, Eric",https://sorensen.house.gov,Illinois 17th,Illinois,state,D,Agriculture|Armed Services
"Soto, Darren",https://soto.house.gov,Florida 9th,Florida,state,D,Energy and Commerce|Natural Resources
"Spartz, Victoria",https://spartz.house.gov,Indiana 5th,Indiana,state,R,
"Stansbury, Melanie",https://stansbury.house.gov/,New Mexico 1st,New Mexico,state,D,Oversight and Government Reform|Natural Resources
"Stanton, Greg",https://stanton.house.gov/,Arizona 4th,Arizona,state,D,Foreign Affairs|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
"Stauber, Pete",https://stauber.house.gov,Minnesota 8th,Minnesota,state,R,Natural Resources|Transportation and Infrastructure|Small Business
"Stefanik, Elise",https://stefanik.house.gov/,New York 21st,New York,state,R,Armed Services|Education and Workforce|Intelligence
"Steil, Bryan",https://steil.house.gov,Wisconsin 1st,Wisconsin,state,R,Financial Services|House Administration|Joint Committee of Congress on the Library
"Steube, W.",https://steube.house.gov/,Florida 17th,Florida,state,R,Intelligence|Ways and Means
"Stevens, Haley",https://stevens.house.gov/,Michigan 11th,Michigan,state,D,"Education and Workforce|Science, Space, and Technology|Select Comm on the Strategic Competition US and China"
"Strickland, Marilyn",https://strickland.house.gov,Washington 10th,Washington,state,D,Armed Services|Transportation and Infrastructure
